Date,Close
2/12/2019,1121.37
2/13/2019,1120.16
2/14/2019,1121.67
2/15/2019,1113.65
2/19/2019,1118.56
2/20/2019,1113.8
2/21/2019,1096.97
2/22/2019,1110.37
2/25/2019,1109.4
2/26/2019,1115.13
2/27/2019,1116.05
2/28/2019,1119.92
3/1/2019,1140.99
3/4/2019,1147.8
3/5/2019,1162.03
3/6/2019,1157.86
3/7/2019,1143.3
3/8/2019,1142.32
3/11/2019,1175.76
3/12/2019,1193.2
3/13/2019,1193.32
3/14/2019,1185.55
3/15/2019,1184.46
3/18/2019,1184.26
3/19/2019,1198.85
3/20/2019,1223.97
3/21/2019,1231.54
3/22/2019,1205.5
3/25/2019,1193
3/26/2019,1184.62
3/27/2019,1173.02
3/28/2019,1168.49
3/29/2019,1173.31
4/1/2019,1194.43
4/2/2019,1200.49
4/3/2019,1205.92
4/4/2019,1215
4/5/2019,1207.15
4/8/2019,1203.84
4/9/2019,1197.25
4/10/2019,1202.16
4/11/2019,1204.62
4/12/2019,1217.87
4/15/2019,1221.1
4/16/2019,1227.13
4/17/2019,1236.34
4/18/2019,1236.37
4/22/2019,1248.84
4/23/2019,1264.55
4/24/2019,1256
4/25/2019,1263.45
4/26/2019,1272.18
4/29/2019,1287.58
4/30/2019,1188.48
5/1/2019,1168.08
5/2/2019,1162.61
5/3/2019,1185.4
5/6/2019,1189.39
5/7/2019,1174.1
5/8/2019,1166.27
5/9/2019,1162.38
5/10/2019,1164.27
5/13/2019,1132.03
